playerID,playerName,yearID,teamID,G,AB,H,BB,BA,OBP,salary
alfoned01,Unknown alfoned01,2002,NYN,135,490,151,62,0.3081632653061224,0.3914590747330961,6200000.0
alfoned01,Unknown alfoned01,2003,SFN,142,514,133,58,0.2587548638132296,0.3344768439108062,4000000.0
alfoned01,Unknown alfoned01,2004,SFN,139,519,150,46,0.28901734104046245,0.3501742160278746,6500000.0
alfoned01,Unknown alfoned01,2005,SFN,109,368,102,27,0.27717391304347827,0.3266832917705736,7500000.0
alicelu01,Unknown alicelu01,1993,SLN,115,362,101,47,0.27900552486187846,0.3619047619047619,160000.0
alicelu01,Unknown alicelu01,1994,SLN,88,205,57,30,0.2780487804878049,0.37344398340248963,650000.0
alicelu01,Unknown alicelu01,1995,BOS,132,419,113,63,0.26968973747016706,0.3674698795180723,800000.0
alicelu01,Unknown alicelu01,1996,SLN,129,380,98,52,0.2578947368421053,0.34988713318284426,750000.0
alicelu01,Unknown alicelu01,1997,ANA,128,388,98,69,0.25257731958762886,0.3747323340471092,650000.0
alicelu01,Unknown alicelu01,1998,TEX,101,259,71,37,0.27413127413127414,0.3717105263157895,750000.0
alicelu01,Unknown alicelu01,1999,TEX,68,164,33,28,0.20121951219512196,0.3160621761658031,825000.0
alicelu01,Unknown alicelu01,2000,TEX,139,540,159,59,0.29444444444444445,0.3649754500818331,750000.0
alicelu01,Unknown alicelu01,2001,KCA,113,387,106,23,0.2739018087855297,0.3204819277108434,800000.0
alicelu01,Unknown alicelu01,2002,KCA,94,237,54,32,0.22784810126582278,0.32222222222222224,800000.0
allanan01,Unknown allanan01,1991,DET,60,151,35,7,0.23178807947019867,0.26582278481012656,100000.0
allench01,Unknown allench01,1999,MIN,137,481,133,37,0.2765072765072765,0.32950191570881227,200000.0
allench01,Unknown allench01,2001,MIN,57,175,46,19,0.26285714285714284,0.3333333333333333,240000.0
allenje01,Unknown allenje01,1996,PIT,61,229,60,23,0.26200873362445415,0.3372093023255814,109000.0
allenje01,Unknown allenje01,1997,PIT,108,369,94,44,0.25474254742547425,0.3403755868544601,160000.0
allenje01,Unknown allenje01,1998,PIT,69,233,72,17,0.3090128755364807,0.37209302325581395,260000.0
allrebe01,Unknown allrebe01,1991,CLE,48,125,29,25,0.232,0.35947712418300654,102500.0
alomaro01,Unknown alomaro01,1990,SDN,147,586,168,48,0.28668941979522183,0.34009360374414976,390000.0
alomaro01,Unknown alomaro01,1991,TOR,161,637,188,57,0.29513343799058084,0.3541963015647226,1300000.0
alomaro01,Unknown alomaro01,1992,TOR,152,571,177,87,0.30998248686514884,0.4045112781954887,2983333.0
alomaro01,Unknown alomaro01,1993,TOR,153,589,192,80,0.32597623089983024,0.40795287187039764,4933333.0
alomaro01,Unknown alomaro01,1994,TOR,107,392,120,51,0.30612244897959184,0.3861607142857143,5433334.0
alomaro01,Unknown alomaro01,1995,TOR,130,517,155,47,0.29980657640232106,0.35376532399299476,5500000.0
alomaro01,Unknown alomaro01,1996,BAL,153,588,193,90,0.3282312925170068,0.4109985528219971,4279379.0
alomaro01,Unknown alomaro01,1997,BAL,112,412,137,40,0.3325242718446602,0.38961038961038963,6354379.0
alomaro01,Unknown alomaro01,1998,BAL,147,588,166,59,0.282312925170068,0.3470948012232416,6343771.0
alomaro01,Unknown alomaro01,1999,CLE,159,563,182,99,0.32326820603907636,0.4222873900293255,7049966.0
alomaro01,Unknown alomaro01,2000,CLE,155,610,189,64,0.30983606557377047,0.37755102040816324,7196656.0
alomaro01,Unknown alomaro01,2001,CLE,157,575,193,80,0.3356521739130435,0.41467065868263475,7750000.0
alomaro01,Unknown alomaro01,2002,NYN,149,590,157,57,0.26610169491525426,0.3312788906009245,7939664.0
alomaro01,Unknown alomaro01,2003,NYN,73,263,69,29,0.2623574144486692,0.33557046979865773,8000000.0
alomaro01,Unknown alomaro01,2004,ARI,38,110,34,12,0.3090909090909091,0.3821138211382114,1000000.0
alomasa02,Unknown alomasa02,1990,CLE,132,445,129,25,0.2898876404494382,0.3263598326359833,115000.0
alomasa02,Unknown alomasa02,1991,CLE,51,184,40,8,0.21739130434782608,0.2639593908629442,360000.0
alomasa02,Unknown alomasa02,1992,CLE,89,299,75,13,0.2508361204013378,0.29337539432176657,525000.0
alomasa02,Unknown alomasa02,1993,CLE,64,215,58,11,0.26976744186046514,0.3177966101694915,1300000.0
alomasa02,Unknown alomasa02,1994,CLE,80,292,84,25,0.2876712328767123,0.346875,2200000.0
alomasa02,Unknown alomasa02,1995,CLE,66,203,61,7,0.30049261083743845,0.3317757009345794,2550000.0
alomasa02,Unknown alomasa02,1996,CLE,127,418,110,19,0.2631578947368421,0.2986425339366516,2575000.0
alomasa02,Unknown alomasa02,1997,CLE,125,451,146,19,0.3237250554323725,0.35443037974683544,2600000.0
alomasa02,Unknown alomasa02,1998,CLE,117,409,96,18,0.23471882640586797,0.2702078521939954,2725000.0
alomasa02,Unknown alomasa02,1999,CLE,37,137,42,4,0.30656934306569344,0.32167832167832167,2800000.0
alomasa02,Unknown alomasa02,2000,CLE,97,356,103,16,0.2893258426966292,0.3236842105263158,2700000.0
alomasa02,Unknown alomasa02,2001,CHA,70,220,54,12,0.24545454545454545,0.288135593220339,2900000.0
alomasa02,Unknown alomasa02,2002,CHA,51,167,48,5,0.2874251497005988,0.30857142857142855,2500000.0
alomasa02,Unknown alomasa02,2003,CHA,75,194,52,4,0.26804123711340205,0.2814070351758794,700000.0
alomasa02,Unknown alomasa02,2004,CHA,50,146,35,11,0.23972602739726026,0.2981366459627329,700000.0
alomasa02,Unknown alomasa02,2005,TEX,46,128,35,5,0.2734375,0.30597014925373134,550000.0
aloumo01,Unknown aloumo01,1992,MON,115,341,96,25,0.28152492668621704,0.3279569892473118,110500.0
aloumo01,Unknown aloumo01,1993,MON,136,482,138,38,0.2863070539419087,0.34022556390977443,210000.0
aloumo01,Unknown aloumo01,1994,MON,107,422,143,42,0.33886255924170616,0.3970276008492569,1415000.0
aloumo01,Unknown aloumo01,1995,MON,93,344,94,29,0.27325581395348836,0.34196891191709844,3000000.0
aloumo01,Unknown aloumo01,1996,MON,143,540,152,49,0.2814814814814815,0.3394648829431438,3050000.0
aloumo01,Unknown aloumo01,1997,FLO,150,538,157,70,0.29182156133828996,0.37318255250403876,4500000.0
aloumo01,Unknown aloumo01,1998,HOU,159,584,182,84,0.3116438356164384,0.39911634756995584,5020000.0
aloumo01,Unknown aloumo01,2000,HOU,126,454,161,52,0.35462555066079293,0.4158607350096712,5250000.0
aloumo01,Unknown aloumo01,2001,HOU,136,513,170,57,0.3313840155945419,0.3958691910499139,5250000.0
aloumo01,Unknown aloumo01,2002,CHN,132,484,133,47,0.27479338842975204,0.33707865168539325,6000000.0
aloumo01,Unknown aloumo01,2003,CHN,151,565,158,63,0.27964601769911507,0.3573667711598746,9500000.0
aloumo01,Unknown aloumo01,2004,CHN,155,601,176,68,0.2928452579034942,0.36148148148148146,9500000.0
aloumo01,Unknown aloumo01,2005,SFN,123,427,137,56,0.32084309133489464,0.4,7250000.0
aloumo01,Unknown aloumo01,2006,SFN,98,345,104,28,0.30144927536231886,0.35185185185185186,5827974.0
aloumo01,Unknown aloumo01,2007,NYN,87,328,112,27,0.34146341463414637,0.39166666666666666,7500000.0
alvarga01,Unknown alvarga01,1998,DET,58,199,46,18,0.23115577889447236,0.2986425339366516,170000.0
amarari01,Unknown amarari01,1993,SEA,110,373,108,33,0.289544235924933,0.34782608695652173,137500.0
amarari01,Unknown amarari01,1994,SEA,77,228,60,24,0.2631578947368421,0.3333333333333333,232500.0
amarari01,Unknown amarari01,1995,SEA,90,238,67,21,0.2815126050420168,0.3423076923076923,250000.0
amarari01,Unknown amarari01,1996,SEA,118,312,91,47,0.2916666666666667,0.3917808219178082,450000.0
amarari01,Unknown amarari01,1997,SEA,89,190,54,10,0.28421052631578947,0.32682926829268294,550000.0
amarari01,Unknown amarari01,1998,SEA,73,134,37,13,0.27611940298507465,0.3422818791946309,550000.0
amarari01,Unknown amarari01,1999,BAL,91,137,38,15,0.2773722627737226,0.34838709677419355,500000.0
amaroru02,Unknown amaroru02,1992,PHI,126,374,82,37,0.2192513368983957,0.3033175355450237,109000.0
amaroru02,Unknown amaroru02,1996,PHI,61,117,37,9,0.3162393162393162,0.3798449612403101,109000.0
amaroru02,Unknown amaroru02,1997,PHI,117,175,41,21,0.2342857142857143,0.32,275000.0
amaroru02,Unknown amaroru02,1998,PHI,92,107,20,6,0.18691588785046728,0.22413793103448276,265000.0
amezaal01,Unknown amezaal01,2006,FLO,132,334,87,33,0.26047904191616766,0.33153638814016173,340000.0
amezaal01,Unknown amezaal01,2007,FLO,133,400,105,35,0.2625,0.32432432432432434,380000.0
amezaal01,Unknown amezaal01,2008,FLO,125,311,82,19,0.26366559485530544,0.3123123123123123,945000.0
anderbr01,Unknown anderbr01,1990,BAL,89,234,54,31,0.23076923076923078,0.32727272727272727,120000.0
anderbr01,Unknown anderbr01,1991,BAL,113,256,59,38,0.23046875,0.33774834437086093,165000.0
anderbr01,Unknown anderbr01,1992,BAL,159,623,169,98,0.2712680577849117,0.37347767253044656,365000.0
anderbr01,Unknown anderbr01,1993,BAL,142,560,147,82,0.2625,0.36322188449848025,1855000.0
anderbr01,Unknown anderbr01,1994,BAL,111,453,119,57,0.26269315673289184,0.3563218390804598,3083333.0
anderbr01,Unknown anderbr01,1995,BAL,143,554,145,87,0.26173285198555957,0.37059724349157736,3333333.0
anderbr01,Unknown anderbr01,1996,BAL,149,579,172,76,0.2970639032815199,0.3964757709251101,3613333.0
anderbr01,Unknown anderbr01,1997,BAL,151,590,170,84,0.288135593220339,0.39337175792507206,4050000.0
anderbr01,Unknown anderbr01,1998,BAL,133,479,113,75,0.2359081419624217,0.356140350877193,5441843.0
anderbr01,Unknown anderbr01,1999,BAL,150,564,159,96,0.28191489361702127,0.4037626628075253,5674897.0
anderbr01,Unknown anderbr01,2000,BAL,141,506,130,92,0.25691699604743085,0.37520391517128876,7127199.0
anderbr01,Unknown anderbr01,2001,BAL,131,430,87,60,0.20232558139534884,0.3106212424849699,7200000.0
anderbr03,Unknown anderbr03,2006,CHA,134,365,82,30,0.22465753424657534,0.2903225806451613,330000.0
anderbr03,Unknown anderbr03,2008,CHA,109,181,42,10,0.23204419889502761,0.27225130890052357,395000.0
anderbr03,Unknown anderbr03,2009,CHA,65,185,44,20,0.23783783783783785,0.32211538461538464,440000.0
